epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3841.62,0.30742,0.23553,0.80185,0.97209,0.97646,0.99001,0.9494,0.29714,0.22078,0.80413,0.000614,0.000614,0.000614
44,3930.04,0.31162,0.23872,0.80309,0.97361,0.97674,0.98998,0.95194,0.28716,0.22045,0.80214,0.000581,0.000581,0.000581
45,4016.97,0.30814,0.23559,0.80277,0.97364,0.9744,0.98938,0.95143,0.28556,0.21808,0.80176,0.000548,0.000548,0.000548
46,4102.26,0.30999,0.23879,0.80286,0.97325,0.97529,0.9893,0.95124,0.28591,0.21772,0.80194,0.000515,0.000515,0.000515
47,4183.57,0.30419,0.23459,0.8019,0.97385,0.97705,0.98977,0.95186,0.28461,0.21286,0.80251,0.000482,0.000482,0.000482
48,4269.55,0.30383,0.23436,0.80089,0.97385,0.97501,0.98938,0.95269,0.28114,0.21255,0.80105,0.000449,0.000449,0.000449
49,4351.67,0.29841,0.2304,0.80223,0.97285,0.97588,0.98943,0.9528,0.27955,0.20662,0.80027,0.000416,0.000416,0.000416
50,4437.38,0.29691,0.22919,0.79983,0.9733,0.976,0.98947,0.95277,0.28024,0.20894,0.80048,0.000383,0.000383,0.000383
51,4515.75,0.28952,0.21857,0.79338,0.97795,0.97087,0.98954,0.95269,0.28405,0.21353,0.80128,0.00035,0.00035,0.00035
52,4593.68,0.2908,0.21896,0.79337,0.97698,0.97401,0.98971,0.95197,0.28465,0.21631,0.80181,0.000317,0.000317,0.000317
53,4671.93,0.28904,0.21739,0.797,0.97727,0.97416,0.98942,0.95373,0.28207,0.21414,0.80106,0.000284,0.000284,0.000284
54,4749.22,0.28894,0.21593,0.79286,0.97704,0.9747,0.98996,0.95338,0.27946,0.21164,0.80035,0.000251,0.000251,0.000251
55,4825.83,0.28396,0.21243,0.79346,0.97615,0.9754,0.99007,0.9548,0.28269,0.20903,0.80025,0.000218,0.000218,0.000218
56,4903.74,0.28259,0.20956,0.79296,0.97503,0.97637,0.98992,0.95494,0.2784,0.20567,0.79913,0.000185,0.000185,0.000185
57,4983.64,0.27764,0.20756,0.79319,0.97388,0.9762,0.99007,0.95483,0.27611,0.2052,0.79841,0.000152,0.000152,0.000152
58,5062.16,0.27491,0.20535,0.79096,0.97446,0.97647,0.99015,0.95555,0.27079,0.20158,0.79811,0.000119,0.000119,0.000119
59,5140.88,0.27384,0.20332,0.78953,0.97434,0.97764,0.99006,0.95545,0.27031,0.19976,0.79837,8.6e-05,8.6e-05,8.6e-05
60,5218.67,0.27238,0.20072,0.7917,0.97524,0.97588,0.9902,0.9556,0.26918,0.1978,0.7983,5.3e-05,5.3e-05,5.3e-05
